# Each line contains : 
#   * Generation
#   * Genome size
#   * Terminator number
#
0 5000 318
1 5000 316
2 5000 315
3 5000 315
4 7198 448
5 7198 448
6 7198 448
7 7198 448
8 7198 448
9 7198 448
10 7198 448
11 9909 626
12 9909 626
13 9909 626
14 9909 626
15 10199 645
16 10199 645
17 10199 645
18 10199 645
19 10199 645
20 10199 645
21 10199 645
22 10199 645
23 10199 645
24 10199 645
25 10199 645
26 10199 640
27 10199 640
28 10199 640
29 10199 640
30 10199 640
31 10199 640
32 10199 640
33 10199 638
34 10201 637
35 17080 1078
36 17080 1078
37 17080 1080
38 17080 1080
39 17080 1082
40 13773 872
41 13773 872
42 13773 872
43 13773 872
44 13773 873
45 13773 872
46 13773 872
47 13773 872
48 13773 876
49 13773 876
50 13773 873
51 13773 873
52 13768 871
53 13768 871
54 13768 871
55 13768 871
56 13768 875
57 13768 875
58 13768 875
59 13768 877
60 13768 876
61 13768 879
62 13768 879
63 13768 878
64 13768 878
65 13768 878
66 13768 878
67 13768 879
68 13768 879
69 13768 879
70 13768 879
71 13768 879
72 13768 880
73 13768 880
74 13768 882
75 13768 885
76 13768 885
77 13768 885
78 13768 885
79 16648 1087
80 16648 1087
81 16648 1088
82 16648 1088
83 16648 1088
84 16648 1084
85 18671 1194
86 18671 1194
87 18671 1194
88 18671 1194
89 18671 1194
90 18671 1194
91 18671 1192
92 18671 1192
93 18671 1192
94 18671 1192
95 18671 1192
96 18671 1190
97 18671 1190
98 18671 1190
99 18671 1190
100 18671 1190
101 23747 1504
102 23747 1503
103 23747 1503
104 23748 1503
105 23748 1502
106 23748 1502
107 23748 1502
108 23748 1502
109 23748 1502
110 23748 1500
111 17151 1088
112 17151 1088
113 17151 1088
114 17151 1088
115 17151 1088
116 17151 1088
117 17151 1088
118 17151 1088
119 17151 1089
120 17151 1089
121 17151 1089
122 17151 1089
123 17153 1093
124 17153 1093
125 17153 1093
126 17153 1093
127 17153 1093
128 17153 1093
129 17153 1093
130 17153 1093
131 17153 1093
132 17153 1093
133 17153 1093
134 17153 1093
135 17153 1092
136 17153 1092
137 17153 1092
138 17153 1089
139 17153 1089
140 17153 1089
141 17153 1089
142 17153 1089
143 17153 1089
144 17153 1089
145 17153 1089
146 17153 1087
147 17153 1086
148 17153 1086
149 17153 1086
150 17153 1086
151 17153 1086
152 17153 1086
153 17153 1086
154 17153 1086
155 17153 1086
156 17153 1088
157 17153 1089
158 17153 1089
159 17153 1089
160 17153 1089
161 17153 1089
162 17153 1089
163 17153 1089
164 17153 1089
165 17153 1089
166 17153 1089
167 17153 1089
168 17153 1089
169 17153 1089
170 17153 1089
171 17153 1089
172 17153 1091
173 17153 1090
174 17153 1090
175 17153 1090
176 17153 1090
177 17153 1090
178 17153 1089
179 17153 1089
180 17153 1086
181 17153 1086
182 17159 1086
183 17159 1086
184 17159 1086
185 17159 1086
186 17159 1084
187 17159 1077
188 17159 1077
189 17159 1077
190 18403 1123
191 18403 1123
192 18403 1123
193 18403 1123
194 18403 1124
195 18403 1123
196 18403 1123
197 18403 1123
198 18403 1120
199 18403 1120
200 18403 1123
201 18403 1123
202 18403 1122
203 18403 1122
204 18403 1122
205 18403 1122
206 18408 1122
207 18408 1123
208 18408 1122
209 18408 1122
210 18408 1122
211 18408 1122
212 18408 1121
213 18408 1121
214 18408 1121
215 18408 1121
216 18408 1121
217 18408 1121
218 18408 1121
219 18408 1121
220 18408 1121
221 18408 1121
222 18408 1121
223 18413 1116
224 18413 1117
225 18413 1116
226 18413 1116
227 18411 1116
228 18411 1116
229 18411 1116
230 18411 1116
231 18411 1115
232 18411 1115
233 18411 1115
234 18411 1115
235 18411 1115
236 18411 1120
237 18411 1121
238 18411 1121
239 18411 1121
240 18411 1121
241 18411 1123
242 18411 1123
243 18411 1123
244 18411 1123
245 18411 1123
246 18411 1123
247 18411 1123
248 18411 1123
249 18411 1126
250 18411 1126
251 18411 1126
252 18411 1126
253 19709 1203
254 19710 1204
255 19710 1207
256 19710 1207
257 19710 1207
258 19710 1207
259 19710 1207
260 19710 1207
261 20003 1225
262 20005 1222
263 20005 1222
264 20005 1222
265 20005 1223
266 20005 1221
267 20005 1221
268 20005 1221
269 20005 1221
270 20005 1221
271 20005 1221
272 20005 1219
273 20005 1219
274 20005 1219
275 20005 1219
276 20005 1219
277 20005 1219
278 20005 1219
279 20005 1219
280 20005 1219
281 20005 1218
282 20005 1218
283 20005 1214
284 20005 1214
285 20005 1214
286 20005 1214
287 20005 1214
288 20005 1214
289 20005 1214
290 20005 1214
291 20005 1211
292 20005 1211
293 20005 1211
294 20005 1211
295 20005 1211
296 20005 1211
297 20005 1211
298 21984 1329
299 21984 1329
300 21984 1326
301 21984 1326
302 21984 1324
303 21984 1322
304 21984 1322
305 21984 1321
306 21984 1321
307 21984 1321
308 22014 1325
309 18456 1081
310 18456 1079
311 18456 1079
312 18456 1079
313 18456 1079
314 18456 1081
315 18456 1084
316 18456 1084
317 18456 1084
318 18456 1084
319 18456 1084
320 18456 1084
321 18456 1084
322 18456 1083
323 18456 1083
324 18454 1083
325 18454 1083
326 18454 1083
327 18454 1083
328 18454 1083
329 18454 1083
330 18453 1082
331 18453 1082
332 18453 1082
333 18453 1082
334 18453 1083
335 18453 1083
336 18453 1083
337 18449 1083
338 18449 1081
339 18449 1083
340 18449 1083
341 18449 1083
342 18449 1083
343 18449 1083
344 18449 1083
345 18449 1083
346 18449 1083
347 18449 1083
348 18449 1082
349 18449 1082
350 18449 1082
351 18449 1083
352 18449 1083
353 18449 1083
354 18449 1081
355 16239 946
356 16535 958
357 16535 957
358 16535 957
359 16535 957
360 16535 957
361 16535 956
362 16535 956
363 16535 958
364 16535 958
365 16535 958
366 16535 958
367 16535 958
368 16535 958
369 16535 958
370 16535 958
371 16535 958
372 16535 958
373 16535 958
374 16535 958
375 16535 958
376 16535 958
377 16535 958
378 16535 957
379 16535 956
380 16535 958
381 16535 958
382 16535 958
383 16540 958
384 16540 958
385 16540 958
386 16540 961
387 16540 961
388 16540 961
389 16540 961
390 16540 961
391 16540 961
392 16540 955
393 17938 1038
394 17938 1039
395 17938 1039
396 17938 1039
397 17938 1039
398 17938 1039
399 17938 1039
400 17938 1039
401 17938 1037
402 17938 1039
403 17938 1039
404 17938 1039
405 17938 1039
406 17938 1038
407 17938 1038
408 17938 1038
409 17938 1037
410 17938 1037
411 17938 1037
412 17938 1037
413 17938 1037
414 17938 1037
415 17938 1037
416 17938 1037
417 17938 1037
418 17938 1038
419 17938 1038
420 17938 1045
421 19015 1113
422 19015 1113
423 19015 1113
424 19015 1113
425 19015 1113
426 19015 1113
427 19015 1113
428 19017 1113
429 19017 1113
430 19017 1111
431 19017 1114
432 19017 1114
433 19017 1114
434 19014 1114
435 19014 1114
436 19014 1114
437 19014 1114
438 19014 1112
439 19014 1112
440 19014 1112
441 19014 1112
442 19014 1112
443 19014 1113
444 19014 1113
445 19014 1113
446 19014 1113
447 19014 1113
448 19014 1113
449 19014 1113
450 19014 1113
451 19020 1114
452 19020 1114
453 19020 1114
454 19020 1114
455 19020 1116
456 19020 1116
457 19020 1116
458 19020 1118
459 19020 1118
460 19020 1118
461 19020 1117
462 19020 1117
463 19020 1117
464 19020 1117
465 19020 1117
466 19020 1118
467 19020 1120
468 19020 1120
469 19020 1120
470 19020 1120
471 19020 1120
472 19020 1120
473 19020 1120
474 19020 1120
475 19020 1120
476 19020 1120
477 19020 1120
478 19020 1120
479 19020 1120
480 19020 1120
481 19020 1120
482 19020 1120
483 19020 1120
484 19020 1120
485 19020 1120
486 19020 1120
487 19133 1127
488 19133 1127
489 19133 1127
490 19133 1127
491 19133 1127
492 19133 1127
